date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:08	9104/9104	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202017%2018:51:08%20GMT	http://www.pm-shipping.com/logistics/air-freight.html	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/logistics/air-freight.html	(from http://www.pm-shipping.com/)
11:51:08	9293/9293	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202017%2018:51:07%20GMT	http://www.pm-shipping.com/logistics/project-logistics.html	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/logistics/project-logistics.html	(from http://www.pm-shipping.com/)
11:51:09	9186/9186	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202017%2018:51:09%20GMT	http://www.pm-shipping.com/logistics/rail.html	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/logistics/rail.html	(from http://www.pm-shipping.com/)
11:51:09	9498/9498	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202017%2018:51:08%20GMT	http://www.pm-shipping.com/logistics/sea-freight.html	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/logistics/sea-freight.html	(from http://www.pm-shipping.com/)
11:51:10	9099/9099	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202017%2018:51:07%20GMT	http://www.pm-shipping.com/logistics/general-cargo.html	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/logistics/general-cargo.html	(from http://www.pm-shipping.com/)
11:51:10	8887/8887	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202017%2018:51:09%20GMT	http://www.pm-shipping.com/logistics/trucking.html	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/logistics/trucking.html	(from http://www.pm-shipping.com/)
11:51:10	8502/8502	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202017%2018:51:10%20GMT	http://www.pm-shipping.com/logistics/storage.html	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/logistics/storage.html	(from http://www.pm-shipping.com/)
11:51:11	9250/9250	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202017%2018:51:10%20GMT	http://www.pm-shipping.com/logistics/green-energy.html	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/logistics/green-energy.html	(from http://www.pm-shipping.com/)
11:51:11	8621/8621	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202017%2018:51:11%20GMT	http://www.pm-shipping.com/logistics/persian-gulf.html	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/logistics/persian-gulf.html	(from http://www.pm-shipping.com/)
11:51:11	9415/9415	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202017%2018:51:11%20GMT	http://www.pm-shipping.com/logistics/special-services.html	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/logistics/special-services.html	(from http://www.pm-shipping.com/)
